symbol,atr_rank,spread_rank,vtd_rank,turnover_rank,amihud_rank,combined_rank,total_rank,final_score,final_rank
VC3,9,9,2,11,7,1.0,29,10.0,1.0
VCS,6,6,9,24,14,11.0,53,17.0,2.0
CAP,1,1,22,23,17,17.0,63,18.0,3.0
PVS,15,18,5,9,4,3.0,36,18.0,3.0
PLC,14,14,10,14,8,7.0,46,21.0,5.0
LAS,10,10,14,15,15,12.0,54,22.0,6.0
IDC,17,22,6,12,5,6.0,45,23.0,7.0
IDV,4,3,19,25,25,21.0,72,25.0,8.0
VGP,8,8,15,20,27,20.0,70,28.0,9.0
SLS,3,4,27,26,26,25.0,83,28.0,9.0
TNG,19,20,11,10,10,9.0,51,28.0,9.0
NTP,13,13,13,21,13,16.0,60,29.0,12.0
TMB,2,2,30,27,29,28.0,88,30.0,13.0
DXP,12,11,18,17,18,18.0,64,30.0,13.0
CEO,29,28,1,1,2,2.0,32,31.0,15.0
MBS,27,29,7,4,3,5.0,43,32.0,16.0
PVI,7,7,25,29,23,26.0,84,33.0,17.0
SHS,30,30,3,2,1,3.0,36,33.0,17.0
BVS,25,26,4,8,9,8.0,47,33.0,17.0
PVC,24,21,16,3,12,10.0,52,34.0,20.0
DVM,16,16,20,6,22,18.0,64,34.0,20.0
TVD,5,5,29,28,30,29.0,92,34.0,20.0
DTD,22,23,17,7,11,15.0,58,37.0,23.0
HUT,26,25,12,13,6,13.0,56,39.0,24.0
L14,28,27,8,5,16,13.0,56,41.0,25.0
DHT,11,12,28,30,28,30.0,98,41.0,25.0
PSD,18,17,26,18,21,24.0,82,42.0,27.0
PVB,21,15,23,16,24,22.0,78,43.0,28.0
LHC,23,19,24,19,19,23.0,81,46.0,29.0
L18,20,24,21,22,20,27.0,87,47.0,30.0
