symbol,close,volume,issue_share,marketcap,rank_volume,rank_marketcap,total_score,mean_ILLIQ_t,rank_amihud
SHS,26.8,27910600,894462220,23971587496.0,1,1,2,5.0786266138636217e-11,1
MBS,37.2,8137900,572812981,21308642893.2,3,2,5,7.608311747032654e-11,3
HUT,19.4,5435700,892511965,17314732121.0,4,3,7,3.6718342280877325e-10,6
CEO,24.1,14235500,540406432,13023795011.2,2,7,9,6.07677529829371e-11,2
PVS,33.8,2548900,477966290,16155260601.999998,5,4,9,9.565148007855498e-11,4
IDC,42.4,1563900,329999929,13991996989.6,7,6,13,1.6438708775067542e-10,5
VC3,28.4,903300,125150939,3554286667.6,8,11,19,3.866932585290048e-10,7
TNG,20.0,479800,122601206,2452024120.0,10,13,23,8.444117430111573e-10,10
BVS,39.0,476700,72233937,2817123543.0,11,12,23,7.86895307910272e-10,9
NTP,62.8,142300,171038220,10741200216.0,17,8,25,1.2049026707043728e-09,13
DTD,21.1,521100,66686055,1407075760.5,9,18,27,1.022320264243567e-09,11
LAS,18.4,342300,112856400,2076557760.0,12,15,27,1.3118034618186441e-09,15
VCS,49.0,115300,160000000,7840000000.0,18,9,27,1.2059217956866765e-09,14
PVC,11.6,1616900,81194463,941855770.8,6,22,28,1.1556909295973646e-09,12
PLC,26.8,269100,80798839,2165408885.2000003,14,14,28,7.435514046061549e-10,8
PVI,65.0,9000,234241867,15225721355.0,26,5,31,6.87821158819499e-09,23
L14,38.5,324200,30859515,1188091327.5,13,20,33,2.0833924743835545e-09,16
DHT,84.3,3300,82341773,6941411463.9,28,10,38,2.5034058267465582e-08,28
DXP,11.1,244200,59910133,665002476.3,15,25,40,4.779230342647156e-09,18
L18,29.1,28100,45739793,1331027976.3,21,19,40,5.373970139642926e-09,20
LHC,98.0,27100,14400000,1411200000.0,23,17,40,4.898796016362996e-09,19
PSD,13.4,101500,51827894,694493779.6,19,24,43,5.642299922259659e-09,21
IDV,26.8,27800,41236777,1105145623.6,22,21,43,7.055329036798902e-09,25
DVM,8.0,238200,42779916,342239328.0,16,29,45,5.6923472818593175e-09,22
PVB,28.5,40600,21599998,615599943.0,20,26,46,7.006222265822957e-09,24
SLS,191.5,1200,9791945,1875157467.5,30,16,46,8.281758758762006e-09,26
CAP,38.2,22200,15269965,583312663.0,24,27,51,2.8781439473075753e-09,17
TMB,62.0,2400,15000000,930000000.0,29,23,52,2.888455126498529e-08,29
VGP,28.3,9900,8214692,232475783.6,25,30,55,1.502816858384221e-08,27
TVD,10.4,7000,44962864,467613785.6,27,28,55,6.00496986241365e-08,30
